Date, NAVPS 
12-Aug-15, 1.2656 
13-Aug-15, 1.2570 
14-Aug-15, 1.2503 
17-Aug-15, 1.2357 
18-Aug-15, 1.2332 
19-Aug-15, 1.2381 
20-Aug-15, 1.2295 
24-Aug-15, 1.1532 
25-Aug-15, 1.1612 
26-Aug-15, 1.1734 
27-Aug-15, 1.1954 
28-Aug-15, 1.2092 
1-Sep-15, 1.2055 
2-Sep-15, 1.2031 
3-Sep-15, 1.2049 
4-Sep-15, 1.1947 
7-Sep-15, 1.1794 
8-Sep-15, 1.1745 
9-Sep-15, 1.1834 
10-Sep-15, 1.1746 
11-Sep-15, 1.1766 
14-Sep-15, 1.1980 
15-Sep-15, 1.2043 
16-Sep-15, 1.2048 
17-Sep-15, 1.2095 
18-Sep-15, 1.2139 
21-Sep-15, 1.2046 
22-Sep-15, 1.1975 
23-Sep-15, 1.1802 
24-Sep-15, 1.1806 
28-Sep-15, 1.1668 
29-Sep-15, 1.1715 
30-Sep-15, 1.1763 
1-Oct-15, 1.1790 
2-Oct-15, 1.1747 
5-Oct-15, 1.1899 
6-Oct-15, 1.2003 
7-Oct-15, 1.2063 
8-Oct-15, 1.2059 
9-Oct-15, 1.2091 
12-Oct-15, 1.2112 
13-Oct-15, 1.1914 
14-Oct-15, 1.1777 
15-Oct-15, 1.1903 
16-Oct-15, 1.1908 
19-Oct-15, 1.1939 
20-Oct-15, 1.1938 
21-Oct-15, 1.2007 
22-Oct-15, 1.2079 
23-Oct-15, 1.2249 
26-Oct-15, 1.2345 
27-Oct-15, 1.2360 
28-Oct-15, 1.2292 
29-Oct-15, 1.2138 
30-Oct-15, 1.2092 
2-Nov-15, 1.2172 
3-Nov-15, 1.2194 
4-Nov-15, 1.2180 
5-Nov-15, 1.2056 
6-Nov-15, 1.2060 
9-Nov-15, 1.1985 
10-Nov-15, 1.1882 
11-Nov-15, 1.1867 
12-Nov-15, 1.1742 
13-Nov-15, 1.1686 
16-Nov-15, 1.1549 
17-Nov-15, 1.1628 
20-Nov-15, 1.1742 
23-Nov-15, 1.1833 
24-Nov-15, 1.1825 
25-Nov-15, 1.1908 
26-Nov-15, 1.1908 
