Philequity Fund,,Philequity PSE Index Fund,,Philequity Dividend Yield Fund,,Philequity Peso Bond Fund,,Philequity Dollar Income Fund,
Date, NAVPS ,Date, NAVPS ,Date, NAVPS ,Date, NAVPS ,Date, NAVPS 
4-May-95, 1.1672 ,,,,,,,,
5-May-95, 1.1865 ,,,,,,,,
9-May-95, 1.2127 ,,,,,,,,
10-May-95, 1.2083 ,,,,,,,,
11-May-95, 1.2333 ,,,,,,,,
12-May-95, 1.2473 ,,,,,,,,
15-May-95, 1.2424 ,,,,,,,,
16-May-95, 1.2602 ,,,,,,,,
17-May-95, 1.2636 ,,,,,,,,
18-May-95, 1.2547 ,,,,,,,,
19-May-95, 1.2456 ,,,,,,,,
22-May-95, 1.2407 ,,,,,,,,
23-May-95, 1.2500 ,,,,,,,,
24-May-95, 1.2671 ,,,,,,,,
25-May-95, 1.2645 ,,,,,,,,
26-May-95, 1.2620 ,,,,,,,,
29-May-95, 1.2518 ,,,,,,,,
30-May-95, 1.2692 ,,,,,,,,
31-May-95, 1.2732 ,,,,,,,,
1-Jun-95, 1.2720 ,,,,,,,,
2-Jun-95, 1.2871 ,,,,,,,,
5-Jun-95, 1.3022 ,,,,,,,,
6-Jun-95, 1.3076 ,,,,,,,,
7-Jun-95, 1.2946 ,,,,,,,,
8-Jun-95, 1.2915 ,,,,,,,,
9-Jun-95, 1.2851 ,,,,,,,,
13-Jun-95, 1.2773 ,,,,,,,,
14-Jun-95, 1.2742 ,,,,,,,,
15-Jun-95, 1.2614 ,,,,,,,,
16-Jun-95, 1.2645 ,,,,,,,,
19-Jun-95, 1.2644 ,,,,,,,,
20-Jun-95, 1.2718 ,,,,,,,,
21-Jun-95, 1.2652 ,,,,,,,,
22-Jun-95, 1.2583 ,,,,,,,,
23-Jun-95, 1.2522 ,,,,,,,,
26-Jun-95, 1.2522 ,,,,,,,,
27-Jun-95, 1.2522 ,,,,,,,,
28-Jun-95, 1.2522 ,,,,,,,,
29-Jun-95, 1.2522 ,,,,,,,,
30-Jun-95, 1.2439 ,,,,,,,,
3-Jul-95, 1.2378 ,,,,,,,,
4-Jul-95, 1.2408 ,,,,,,,,
5-Jul-95, 1.2595 ,,,,,,,,
6-Jul-95, 1.2727 ,,,,,,,,
7-Jul-95, 1.2930 ,,,,,,,,
10-Jul-95, 1.3150 ,,,,,,,,
11-Jul-95, 1.2920 ,,,,,,,,
12-Jul-95, 1.2967 ,,,,,,,,
13-Jul-95, 1.3087 ,,,,,,,,
14-Jul-95, 1.3171 ,,,,,,,,
17-Jul-95, 1.3045 ,,,,,,,,
18-Jul-95, 1.3039 ,,,,,,,,
19-Jul-95, 1.3003 ,,,,,,,,
20-Jul-95, 1.3035 ,,,,,,,,
21-Jul-95, 1.3126 ,,,,,,,,
24-Jul-95, 1.3137 ,,,,,,,,
25-Jul-95, 1.3166 ,,,,,,,,
26-Jul-95, 1.3159 ,,,,,,,,
27-Jul-95, 1.3321 ,,,,,,,,
28-Jul-95, 1.3360 ,,,,,,,,
31-Jul-95, 1.3353 ,,,,,,,,
1-Aug-95, 1.3366 ,,,,,,,,
2-Aug-95, 1.3553 ,,,,,,,,
3-Aug-95, 1.3548 ,,,,,,,,
4-Aug-95, 1.3523 ,,,,,,,,
7-Aug-95, 1.3548 ,,,,,,,,
8-Aug-95, 1.3723 ,,,,,,,,
9-Aug-95, 1.3613 ,,,,,,,,
10-Aug-95, 1.3614 ,,,,,,,,
11-Aug-95, 1.3684 ,,,,,,,,
14-Aug-95, 1.3495 ,,,,,,,,
15-Aug-95, 1.3403 ,,,,,,,,
16-Aug-95, 1.3541 ,,,,,,,,
17-Aug-95, 1.3511 ,,,,,,,,
18-Aug-95, 1.3702 ,,,,,,,,
21-Aug-95, 1.3627 ,,,,,,,,
22-Aug-95, 1.3472 ,,,,,,,,
23-Aug-95, 1.3433 ,,,,,,,,
24-Aug-95, 1.3323 ,,,,,,,,
25-Aug-95, 1.3351 ,,,,,,,,
28-Aug-95, 1.3352 ,,,,,,,,
29-Aug-95, 1.3370 ,,,,,,,,
30-Aug-95, 1.3408 ,,,,,,,,
31-Aug-95, 1.3343 ,,,,,,,,
1-Sep-95, 1.3453 ,,,,,,,,
4-Sep-95, 1.3548 ,,,,,,,,
5-Sep-95, 1.3355 ,,,,,,,,
6-Sep-95, 1.3249 ,,,,,,,,
7-Sep-95, 1.3346 ,,,,,,,,
8-Sep-95, 1.3303 ,,,,,,,,
11-Sep-95, 1.3300 ,,,,,,,,
12-Sep-95, 1.3352 ,,,,,,,,
13-Sep-95, 1.3516 ,,,,,,,,
14-Sep-95, 1.3856 ,,,,,,,,
15-Sep-95, 1.3877 ,,,,,,,,
18-Sep-95, 1.3882 ,,,,,,,,
19-Sep-95, 1.3850 ,,,,,,,,
20-Sep-95, 1.3837 ,,,,,,,,
21-Sep-95, 1.3773 ,,,,,,,,
22-Sep-95, 1.3723 ,,,,,,,,
25-Sep-95, 1.3735 ,,,,,,,,
26-Sep-95, 1.3556 ,,,,,,,,
27-Sep-95, 1.3425 ,,,,,,,,
28-Sep-95, 1.3324 ,,,,,,,,
29-Sep-95, 1.3329 ,,,,,,,,
2-Oct-95, 1.3364 ,,,,,,,,
3-Oct-95, 1.3320 ,,,,,,,,
4-Oct-95, 1.3143 ,,,,,,,,
5-Oct-95, 1.3236 ,,,,,,,,
6-Oct-95, 1.3295 ,,,,,,,,
9-Oct-95, 1.3161 ,,,,,,,,
10-Oct-95, 1.3005 ,,,,,,,,
11-Oct-95, 1.3118 ,,,,,,,,
12-Oct-95, 1.3211 ,,,,,,,,
13-Oct-95, 1.3266 ,,,,,,,,
16-Oct-95, 1.3361 ,,,,,,,,
17-Oct-95, 1.3355 ,,,,,,,,
18-Oct-95, 1.3347 ,,,,,,,,
19-Oct-95, 1.3145 ,,,,,,,,
20-Oct-95, 1.3166 ,,,,,,,,
23-Oct-95, 1.3108 ,,,,,,,,
24-Oct-95, 1.3026 ,,,,,,,,
25-Oct-95, 1.2927 ,,,,,,,,
26-Oct-95, 1.3045 ,,,,,,,,
27-Oct-95, 1.2921 ,,,,,,,,
30-Oct-95, 1.2789 ,,,,,,,,
31-Oct-95, 1.2735 ,,,,,,,,
2-Nov-95, 1.2815 ,,,,,,,,
